ciudadid,nombre,provincia,latitud,longitud,zona_horaria
435,Cachanlo De Sidcay,,,,
436,Cachaulo De Machangara,,,,
437,Cachi,,,,
438,Cachiguaico,,,,
439,Cachillacta,,,,
440,Cachiloma,,,,
441,Cachipamba,,,,
442,Cachipamba,,,,
443,Cachipamba,,,,
444,Cachipamba,,,,
445,Cachipamba,,,,
446,Cachipirca,,,,
447,Cachitambo,,,,
448,Cadeal,,,,
449,Cadeate,,,,
450,Cadenillas,,,,
451,Caferino Espanol,,,,
452,Caguanshum Chico,,,,
453,Caguashum Grande,,,,
454,Cahuasqui,,,,
455,Caiguas,,,,
456,Caimito,,,,
457,Caimito,,,,
458,Caipi,,,,
459,Cajabamba,,,,
460,Cajas,,,,
461,Cajon Tambo,,,,
462,Cajontambo,,,,
463,Calabi,,,,
464,Calabria,,,,
465,Calacali,,,,
466,Calceta,,,,
467,Calcicante,,,,
468,Caldera,,,,
469,Calderon,,,,
470,Calderon,,,,
471,Caledonias,,,,
472,Calentura,,,,
473,Calera,,,,
474,Calhuache,,,,
475,Calichana,,,,
476,Caliguina,,,,
477,Callancay,,,,
478,Callejon,,,,
479,Calpi,,,,
480,Calug,,,,
481,Caluguro,,,,
482,Calvario,,,,
483,Calvario,,,,
484,Calvario,,,,
485,Calvario,,,,
486,Camara,,,,
487,Camarones,,,,
488,Camarones,,,,
489,Cambana,,,,
490,Camilo Ponce Enriquez,,,,
491,Campamento Agua Colorada,,,,
492,Campamento Aragundi,,,,
493,Campamento El Abandono,,,,
494,Campamento El Diluvio,,,,
495,Campamento El Mirador,,,,
496,Campamento La Hambruna,,,,
497,Campamento La Pampa,,,,
498,Campamento Quinones,,,,
499,Campamento Ruisenor,,,,
500,Campanaguaico,,,,
501,Campanaka Entza,,,,
502,Campanita,,,,
503,Campo Alegre,,,,
504,Campo Alegre,,,,
505,Campozano,,,,
506,Canaan,,,,
507,Canalaurco,,,,
508,Canales,,,,
509,Cananguchal,,,,
510,Canar,,,,
511,Canaria,,,,
